iter	Passed	Remaining
1292	7634	4174
1293	7638	4167
1294	7643	4160
1295	7649	4155
1296	7655	4149
1297	7659	4142
1298	7664	4136
1299	7670	4130
1300	7675	4123
1301	7679	4117
1302	7684	4110
1303	7691	4105
1304	7694	4097
1305	7701	4092
1306	7707	4086
1307	7714	4081
1308	7717	4074
1309	7723	4068
1310	7726	4060
1311	7730	4053
1312	7734	4046
1313	7739	4040
1314	7743	4033
1315	7749	4028
1316	7755	4021
1317	7761	4016
1318	7769	4011
1319	7775	4005
1320	7782	4000
1321	7787	3993
1322	7793	3987
1323	7799	3982
1324	7807	3977
1325	7813	3971
1326	7820	3966
1327	7826	3960
1328	7832	3954
1329	7838	3948
1330	7842	3941
1331	7847	3935
1332	7851	3928
1333	7859	3923
1334	7863	3917
1335	7869	3911
1336	7875	3905
1337	7882	3899
1338	7887	3893
1339	7892	3887
1340	7898	3881
1341	7904	3875
1342	7911	3870
1343	7917	3864
1344	7924	3859
1345	7931	3853
1346	7938	3848
1347	7944	3842
1348	7951	3837
1349	7957	3831
1350	7963	3825
1351	7970	3820
1352	7976	3814
1353	7982	3808
1354	7986	3801
1355	7993	3796
1356	7998	3790
1357	8003	3783
1358	8010	3778
1359	8016	3772
1360	8022	3766
1361	8027	3760
1362	8036	3755
1363	8042	3749
1364	8046	3743
1365	8054	3738
1366	8057	3731
1367	8063	3725
1368	8069	3719
1369	8074	3713
1370	8082	3708
1371	8090	3703
1372	8095	3696
1373	8100	3690
1374	8107	3685
1375	8112	3679
1376	8117	3672
1377	8120	3665
1378	8126	3659
1379	8132	3653
1380	8136	3647
1381	8142	3641
1382	8148	3635
1383	8153	3629
1384	8157	3622
1385	8161	3615
1386	8165	3608
1387	8170	3602
1388	8177	3596
1389	8183	3591
1390	8188	3585
1391	8195	3579
1392	8200	3573
1393	8206	3567
1394	8212	3561
1395	8218	3555
1396	8223	3549
1397	8228	3543
1398	8233	3537
1399	8240	3531
1400	8244	3525
1401	8251	3519
1402	8257	3513
1403	8263	3507
1404	8269	3501
1405	8276	3496
1406	8281	3490
1407	8288	3484
